0x673a: X: 6443, Y: 12546, Z: 1842
0x673a: X: 6881, Y: 2551, Z: 7591
0x673a: X: 6921, Y: 2436, Z: 7526
0x673a: X: 6861, Y: 2594, Z: 7579
0x673a: X: 6827, Y: 2521, Z: 7593
0x673a: X: 6778, Y: 2473, Z: 7682
0x673a: X: 6876, Y: 2456, Z: 7598
0x673a: X: 6918, Y: 2508, Z: 7594
0x673a: X: 6709, Y: 2480, Z: 7713
0x673a: X: 2078, Y: 2295, Z: 6686
0x673a: X: 4738, Y: 660, Z: 2761
0x673a: X: 4726, Y: 708, Z: 2731
0x673a: X: 4703, Y: 689, Z: 2707
0x673a: X: 4751, Y: 653, Z: 2711
0x673a: X: 4728, Y: 648, Z: 2744
0x673a: X: 4741, Y: 681, Z: 2747
0x673a: X: 4092, Y: 1386, Z: -633
0x673a: X: 4738, Y: 660, Z: 2761
0x673a: X: 4755, Y: 682, Z: 2707
0x673a: X: 4750, Y: 667, Z: 2692
0x673a: X: 4782, Y: 720, Z: 2760
0x673a: X: 4751, Y: 687, Z: 2758
0x673a: X: 4713, Y: 716, Z: 2700
0x673a: X: 4761, Y: 676, Z: 2744
0x673a: X: 4722, Y: 707, Z: 2695
0x673a: X: 4758, Y: 661, Z: 2719
0x673a: X: 4728, Y: 686, Z: 2750
0x673a: X: 4772, Y: 647, Z: 2753
0x673a: X: 4755, Y: 643, Z: 2739
0x673a: X: 4712, Y: 698, Z: 2765
0x673a: X: 4698, Y: 653, Z: 2751
0x673a: X: 4717, Y: 732, Z: 2722
0x673a: X: 4730, Y: 703, Z: 2729
0x673a: X: 4730, Y: 703, Z: 2729
0x673a: X: 4711, Y: 700, Z: 2724
0x673a: X: 4198, Y: 1312, Z: -437
0x673a: X: 4762, Y: 693, Z: 2718
0x673a: X: 4737, Y: 639, Z: 2792
0x673a: X: 4742, Y: 673, Z: 2733
0x673a: X: 4702, Y: 699, Z: 2716
0x673a: X: 4705, Y: 715, Z: 2698
0x673a: X: 4141, Y: 1307, Z: -421
0x673a: X: 4143, Y: 1276, Z: -365
0x673a: X: 4718, Y: 724, Z: 2764
0x673a: X: 4707, Y: 694, Z: 2766
0x673a: X: 4678, Y: 738, Z: 2722
0x673a: X: 4710, Y: 671, Z: 2726
0x673a: X: 4700, Y: 681, Z: 2737
0x673a: X: 4722, Y: 682, Z: 2751
0x673a: X: 4731, Y: 699, Z: 2687
0x673a: X: 4744, Y: 651, Z: 2750
0x673a: X: 4739, Y: 696, Z: 2723
0x673a: X: 4758, Y: 698, Z: 2729
0x673a: X: 4747, Y: 685, Z: 2707
0x673a: X: 4753, Y: 683, Z: 2705
0x673a: X: 4704, Y: 628, Z: 2767
0x673a: X: 4700, Y: 672, Z: 2728
0x673a: X: 4731, Y: 645, Z: 2742
0x673a: X: 4785, Y: 673, Z: 2699
0x673a: X: 4735, Y: 678, Z: 2701
0x673a: X: 4748, Y: 706, Z: 2731
0x673a: X: 4721, Y: 711, Z: 2796
0x673a: X: 4770, Y: 690, Z: 2766
0x673a: X: 4700, Y: 728, Z: 2759
0x673a: X: 4731, Y: 701, Z: 2770
0x673a: X: 4737, Y: 690, Z: 2717
0x673a: X: 4186, Y: 1385, Z: -483
0x673a: X: 4722, Y: 707, Z: 2695
0x673a: X: 4712, Y: 698, Z: 2765
0x673a: X: 4282, Y: 1287, Z: -325
0x673a: X: 4755, Y: 699, Z: 2688
0x673a: X: 4765, Y: 695, Z: 2720
0x673a: X: 4768, Y: 651, Z: 2755
0x673a: X: 4729, Y: 682, Z: 2704
0x673a: X: 4364, Y: 1260, Z: -127
0x673a: X: 4757, Y: 657, Z: 2682
0x673a: X: 4758, Y: 662, Z: 2724
0x673a: X: 4733, Y: 698, Z: 2719
0x673a: X: 4702, Y: 667, Z: 2682
0x673a: X: 4768, Y: 664, Z: 2657
0x673a: X: 4718, Y: 668, Z: 2686
0x673a: X: 4709, Y: 669, Z: 2657
0x673a: X: 4703, Y: 680, Z: 2698
0x673a: X: 4733, Y: 671, Z: 2659
0x673a: X: 4718, Y: 668, Z: 2686
0x673a: X: 4724, Y: 640, Z: 2691
0x673a: X: 4729, Y: 682, Z: 2704
0x673a: X: 4740, Y: 669, Z: 2660
0x673a: X: 4754, Y: 664, Z: 2774
0x673a: X: 4758, Y: 698, Z: 2729
0x673a: X: 4727, Y: 666, Z: 2723
0x673a: X: 4779, Y: 623, Z: 2717
0x673a: X: 4282, Y: 1349, Z: -433
0x673a: X: 4279, Y: 1256, Z: -272
0x673a: X: 4766, Y: 653, Z: 2713
0x673a: X: 4785, Y: 673, Z: 2699
0x673a: X: 4244, Y: 1376, Z: -474
0x673a: X: 4717, Y: 690, Z: 2674
0x673a: X: 4728, Y: 686, Z: 2750
0x673a: X: 4748, Y: 669, Z: 2787
